match_id,date,team1,team2,toss_winner,toss_decision,venue,city,match_type,winner,win_by,win_margin,innings1_runs,innings2_runs,innings1_wickets,innings2_wickets,day_night,dl_applied
1082591,2017-04-05,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Group,Sunrisers Hyderabad,runs,35,207,172,4,10,Night,False
1082595,2017-04-08,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,bat,M.Chinnaswamy Stadium,Bengaluru,Group,Royal Challengers Bengaluru,runs,15,157,142,8,9,Night,False
1082597,2017-04-09,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium,Mumbai,Group,Mumbai Indians,wickets,4,178,180,7,6,Night,False
1082598,2017-04-10,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Holkar Cricket Stadium,Indore,Group,Punjab Kings,wickets,8,148,150,4,2,Night,False
1082600,2017-04-12,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Wankhede Stadium,Mumbai,Group,Mumbai Indians,wickets,4,158,159,8,6,Night,False
1082601,2017-04-13,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Eden Gardens,Kolkata,Group,Kolkata Knight Riders,wickets,8,170,171,9,2,Night,False
1082602,2017-04-14,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,Bangalore,Group,Mumbai Indians,wickets,4,142,145,5,6,Night,False
1082604,2017-04-15,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Eden Gardens,Kolkata,Group,Kolkata Knight Riders,runs,17,172,155,6,6,Day,False
1082605,2017-04-15,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Feroz Shah Kotla,Delhi,Group,Delhi Capitals,runs,51,188,137,6,9,Night,False
1082608,2017-04-17,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Feroz Shah Kotla,Delhi,Group,Kolkata Knight Riders,wickets,4,168,169,7,6,Day,False
1082609,2017-04-17,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Group,Sunrisers Hyderabad,runs,5,159,154,6,10,Night,False
1082611,2017-04-19,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Group,Sunrisers Hyderabad,runs,15,191,176,4,5,Night,False
1082612,2017-04-20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Holkar Cricket Stadium,Indore,Group,Mumbai Indians,wickets,8,198,199,4,2,Night,False
1082614,2017-04-22,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Wankhede Stadium,Mumbai,Group,Mumbai Indians,runs,14,142,128,8,7,Night,False
1082617,2017-04-23,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Eden Gardens,Kolkata,Group,Kolkata Knight Riders,runs,82,131,49,10,10,Night,False
1082622,2017-04-28,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Eden Gardens,Kolkata,Group,Kolkata Knight Riders,wickets,7,160,161,6,3,Day,False
1082623,2017-04-28,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Group,Sunrisers Hyderabad,runs,26,207,181,3,9,Night,False
1082626,2017-04-30,Punjab Kings,Delhi Capitals,Punjab Kings,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Group,Punjab Kings,wickets,10,67,68,10,0,Day,False
1082627,2017-04-30,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Group,Sunrisers Hyderabad,runs,48,209,161,3,7,Night,False
1082628,2017-05-01,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Wankhede Stadium,Mumbai,Group,Mumbai Indians,wickets,5,162,165,8,6,Night,False
1082630,2017-05-02,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Feroz Shah Kotla,Delhi,Group,Delhi Capitals,wickets,6,185,189,3,4,Night,False
1082633,2017-05-05,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Bangalore,Group,Punjab Kings,runs,19,138,119,7,10,Night,False
1082635,2017-05-06,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Feroz Shah Kotla,Delhi,Group,Mumbai Indians,runs,146,212,66,3,10,Night,False
