player_name,matches_played,role,total_runs,career_average,career_strike_rate,total_wickets,career_economy,total_4s,total_6s,runs_last_7,avg_last_7,strike_rate_last_7,wickets_last_7,economy_last_7,4s_6s_last_7,dot_ball_pct_last_7,player_consistency_score
DA Warner,184,Batsman,6567,35.69,135.43,0,6.0,663,236,139,17.38,128.7,0,0.0,22,42.59,41.48
S Dhawan,221,Batsman,6769,30.63,123.45,4,8.82,768,153,169,13.0,121.58,0,0.0,25,38.85,45.03
MC Henriques,62,All-rounder,1000,16.13,124.84,42,7.98,87,28,83,10.38,110.67,4,6.08,8,38.51,28.28
Yuvraj Singh,129,Batsman,2754,21.35,124.78,36,7.42,218,149,127,9.07,107.63,0,0.0,15,37.29,36.19
DJ Hooda,105,All-rounder,1495,14.24,123.45,10,8.36,98,62,45,3.46,81.82,1,9.95,5,31.25,16.07
BCJ Cutting,21,All-rounder,238,11.33,163.01,10,8.96,15,19,93,9.3,152.46,3,10.17,12,28.76,27.7
TS Mills,10,Bowler,8,0.8,57.14,11,9.61,0,1,8,0.89,57.14,8,9.94,1,33.92,24.98
A Choudhary,5,Bowler,25,5.0,125.0,5,8.0,1,1,25,5.0,125.0,5,8.0,2,35.94,30.55
YS Chahal,167,Bowler,37,0.22,41.57,214,7.8,0,0,18,1.29,40.91,9,8.85,0,34.59,27.74
S Aravind,38,Bowler,59,1.55,100.0,45,8.05,7,0,32,3.2,78.05,3,9.44,2,33.13,18.96
SR Watson,145,All-rounder,3880,26.76,134.16,92,7.7,377,190,247,17.64,120.49,0,9.96,38,36.12,38.22
TM Head,34,Batsman,1033,30.38,162.68,2,11.69,113,49,147,11.31,130.09,2,11.69,26,29.82,43.92
STR Binny,86,All-rounder,880,10.23,125.71,22,7.49,66,35,71,6.45,144.9,2,8.17,9,31.36,25.91
CH Gayle,141,Batsman,4997,35.44,142.12,18,7.76,408,359,132,9.43,117.86,0,0.0,20,41.07,39.37
Mandeep Singh,97,Batsman,1706,17.59,120.31,0,13.0,176,38,47,5.22,87.04,0,0.0,7,51.85,20.43
KM Jadhav,81,All-rounder,1208,14.91,119.37,0,0.0,102,40,71,10.14,98.61,0,0.0,5,31.94,14.68
Sachin Baby,13,All-rounder,144,11.08,117.07,2,4.8,11,5,65,7.22,108.33,2,4.8,8,44.29,33.9
A Nehra,88,Bowler,41,0.47,65.08,106,7.71,3,1,2,0.14,20.0,8,9.38,0,34.59,27.49
B Kumar,184,Bowler,316,1.72,87.78,190,7.5,31,3,14,1.27,46.67,8,8.46,1,42.86,31.12
Rashid Khan,129,Bowler,567,4.4,154.08,155,7.04,40,40,95,8.64,143.94,5,8.66,13,30.09,23.88
Bipul Sharma,29,Bowler,187,6.45,150.81,17,8.0,11,9,82,7.45,164.0,3,7.86,9,28.0,23.61
PA Patel,136,Batsman,2848,20.94,116.63,0,0.0,365,49,182,26.0,147.97,0,0.0,31,34.15,54.71
JC Buttler,114,Batsman,3939,34.55,143.92,0,0.0,396,174,302,43.14,163.24,0,0.0,47,27.57,75.39
RG Sharma,259,Batsman,6858,26.48,128.45,15,7.94,617,296,228,16.29,150.0,0,0.0,33,33.55,59.97
N Rana,112,Batsman,2840,25.36,132.71,10,8.25,258,141,185,13.21,171.3,1,10.86,31,26.0,55.69
AT Rayudu,185,Batsman,4348,23.5,124.58,0,0.0,359,173,84,12.0,131.25,0,0.0,9,31.25,35.47
